"location","population","highest_infection_count","percent_population_infected"
Seychelles,98910,20593,0.2082
Montenegro,628051,124485,0.1982
Andorra,77354,15113,0.1954
San Marino,34010,5408,0.1590
Czechia,10724553,1684881,0.1571
Bahrain,1748295,274041,0.1567
Maldives,543620,83248,0.1531
Georgia,3979773,589727,0.1482
Israel,8789776,1208403,0.1375
Slovenia,2078723,280544,0.1350
Cyprus,888005,116494,0.1312
United States,332915074,41785903,0.1255
Serbia,6804596,846114,0.1243
Luxembourg,634814,77098,0.1214
Netherlands,17173094,2016225,0.1174
Lithuania,2689862,312481,0.1162
Argentina,45605823,5234851,0.1148
Sweden,10160159,1143973,0.1126
Estonia,1325188,148391,0.1120
Uruguay,3485152,387299,0.1111
United Kingdom,68207114,7373451,0.1081
Panama,4381583,463459,0.1058
Spain,46745211,4926324,0.1054
Belgium,11632334,1217473,0.1047
Portugal,10167923,1059409,0.1042
France,67564251,7022203,0.1039
Brazil,213993441,21069017,0.0985
Costa Rica,5139053,502362,0.0978
Colombia,51265841,4936052,0.0963
Croatia,4081657,388260,0.0951
Kuwait,4328553,411018,0.0950
Switzerland,8715494,820982,0.0942
Lebanon,6769151,616179,0.0910
North Macedonia,2082661,185450,0.0890
Liechtenstein,38254,3394,0.0887
Chile,19212362,1645820,0.0857
Hungary,9634162,816680,0.0848
Armenia,2968128,251323,0.0847
Monaco,39520,3288,0.0832
Kosovo,1932774,158396,0.0820
Qatar,2930524,235187,0.0803
Mongolia,3329282,266680,0.0801
Latvia,1866934,149081,0.0799
Turkey,85042736,6766978,0.0796
Austria,9043072,718091,0.0794
Jordan,10269022,811463,0.0790
Italy,60367471,4623155,0.0766
Poland,37797000,2895947,0.0766
Ireland,4982904,371301,0.0745
Slovakia,5460726,400348,0.0733
United Arab Emirates,9991083,731307,0.0732
Palestine,5222756,379635,0.0727
Botswana,2397240,172252,0.0719
Malta,514564,36900,0.0717
Bulgaria,6896655,478885,0.0694
Moldova,4024025,279143,0.0694
Bosnia and Herzegovina,3263459,224862,0.0689
Cuba,11317498,776125,0.0686
Cape Verde,561901,36891,0.0657
Peru,33359415,2164380,0.0649
Paraguay,7219641,459524,0.0636
Iran,85028760,5378408,0.0633
Malaysia,32776195,2049750,0.0625
Denmark,5813302,355235,0.0611
Suriname,591798,35817,0.0605
Greece,10370747,625083,0.0603
Romania,19127772,1135027,0.0593
Tunisia,11935764,697421,0.0584
Oman,5223376,303309,0.0581
Ukraine,43466822,2435404,0.0560
Albania,2872934,160365,0.0558
Saint Lucia,184401,10217,0.0554
Fiji,902899,49587,0.0549
Belarus,9442867,510481,0.0541
Bahamas,396914,19795,0.0499
Germany,83900471,4127158,0.0492
Kazakhstan,18994958,928341,0.0489
Namibia,2587344,126537,0.0489
Russia,145912022,7110656,0.0487
South Africa,60041996,2873415,0.0479
Iraq,41179351,1967187,0.0478
Libya,6958538,328856,0.0473
Azerbaijan,10223344,467173,0.0457
Belize,404915,18334,0.0453
Bolivia,11832936,496032,0.0419
Canada,38067913,1572228,0.0413
Eswatini,1172369,45274,0.0386
Dominica,72172,2758,0.0382
Guyana,790329,28831,0.0365
Honduras,10062994,354970,0.0353
Trinidad and Tobago,1403374,47925,0.0341
Vatican,812,27,0.0333
Iceland,343360,11377,0.0331
Norway,5465629,180432,0.0330
Dominican Republic,10953714,354443,0.0324
Saint Kitts and Nevis,53546,1589,0.0297
Grenada,113015,3262,0.0289
Guatemala,18249868,521093,0.0286
Ecuador,17888474,505860,0.0283
Mexico,130262220,3549229,0.0272
Kyrgyzstan,6628347,177484,0.0268
Nepal,29674920,781989,0.0264
Jamaica,2973462,77989,0.0262
Morocco,37344787,913423,0.0245
Finland,5548361,135314,0.0244
India,1393409033,33381728,0.0240
Saint Vincent and the Grenadines,111269,2613,0.0235
Antigua and Barbuda,98728,2304,0.0233
Sri Lanka,21497306,498694,0.0232
Barbados,287708,6248,0.0217
Philippines,111046910,2304192,0.0207
Thailand,69950844,1434237,0.0205
Saudi Arabia,35340680,546336,0.0155
El Salvador,6518500,99701,0.0153
Indonesia,276361788,4181309,0.0151
Timor,1343875,18856,0.0140
Sao Tome and Principe,223364,2984,0.0134
Japan,126050796,1663818,0.0132
Singapore,5896684,74848,0.0127
Venezuela,28704947,350795,0.0122
Gabon,2278829,27291,0.0120
Djibouti,1002197,11960,0.0119
Mauritius,1273428,14073,0.0111
Zambia,18920657,208267,0.0110
Brunei,441532,4675,0.0106
Bangladesh,166303494,1538203,0.0092
Zimbabwe,15092171,127368,0.0084
Myanmar,54806014,440741,0.0080
Equatorial Guinea,1449891,11063,0.0076
Mauritania,4775110,35212,0.0074
Rwanda,13276517,94478,0.0071
Lesotho,2159067,14395,0.0067
Vietnam,98168829,656129,0.0067
Cambodia,16946446,102136,0.0060
South Korea,51305184,281938,0.0055
Pakistan,225199929,1218749,0.0054
Uzbekistan,33935765,166644,0.0049
Mozambique,32163045,149804,0.0047
Comoros,888456,4101,0.0046
Algeria,44616626,200989,0.0045
Kenya,54985702,245337,0.0045
Senegal,17196308,73562,0.0043
Gambia,2486937,9867,0.0040
Afghanistan,39835428,154361,0.0039
Ghana,31732128,123874,0.0039
Bhutan,779900,2596,0.0033
Australia,25788217,82200,0.0032
Cameroon,27224262,85414,0.0031
