"location","population","people_vaccinated","people_fully_vaccinated","percentage_vaccinated","percentage_fully_vaccinated"
Pitcairn,47,47,47,>0.99,>0.99
Gibraltar,33691,39837,39432,>0.99,>0.99
United Arab Emirates,9991083,9059751,7971790,"0.9068","0.7979"
Portugal,10167923,8846756,8319395,"0.8701","0.8182"
Iceland,343360,281141,274175,"0.8188","0.7985"
Cayman Islands,66498,54167,50442,"0.8146","0.7585"
Malta,514564,418251,417636,"0.8128","0.8116"
Qatar,2930524,2360308,2218292,"0.8054","0.7570"
Spain,46745211,37385758,35784743,"0.7998","0.7655"
Singapore,5896684,4654992,4544159,"0.7894","0.7706"
Uruguay,3485152,2716871,2558759,"0.7796","0.7342"
Isle of Man,85410,65430,63485,"0.7661","0.7433"
Faeroe Islands,49053,37568,35640,"0.7659","0.7266"
Denmark,5813302,4440213,4322533,"0.7638","0.7436"
Chile,19212362,14671991,14007210,"0.7637","0.7291"
Jersey,101073,76818,73561,"0.7600","0.7278"
China,1444216102,1095000000,1011584000,"0.7582","0.7004"
Canada,38067913,28629817,26304533,"0.7521","0.6910"
Aruba,107195,80606,73841,"0.7520","0.6888"
Ireland,4982904,3745660,3577773,"0.7517","0.7180"
Falkland Islands,3528,2632,1775,"0.7460","0.5031"
Seychelles,98910,73777,69713,"0.7459","0.7048"
Niue,1614,1202,1150,"0.7447","0.7125"
Norway,5465629,4046955,3539750,"0.7404","0.6476"
Finland,5548361,4094729,3238086,"0.7380","0.5836"
France,67564251,49707676,43042655,"0.7357","0.6371"
Belgium,11632334,8515499,8297278,"0.7321","0.7133"
Italy,60367471,44110138,39371032,"0.7307","0.6522"
Bhutan,779900,567220,478897,"0.7273","0.6140"
Bonaire Sint Eustatius and Saba,26445,19109,16736,"0.7226","0.6329"
Greenland,56868,40922,35850,"0.7196","0.6304"
Maldives,543620,390644,330022,"0.7186","0.6071"
Saint Helena,6095,4361,3531,"0.7155","0.5793"
San Marino,34010,24329,24329,"0.7153","0.7153"
United Kingdom,68207114,48528901,44298076,"0.7115","0.6495"
Tokelau,1368,968,0,"0.7076","0.0000"
Netherlands,17173094,12068854,10924705,"0.7028","0.6362"
Bermuda,62092,43549,42645,"0.7014","0.6868"
Nauru,10873,7612,7251,"0.7001","0.6669"
Sweden,10160159,7070462,6332614,"0.6959","0.6233"
Turks and Caicos Islands,39226,27220,24618,"0.6939","0.6276"
South Korea,51305184,35414516,21489009,"0.6903","0.4188"
Israel,8789776,6059158,5572156,"0.6893","0.6339"
Cambodia,16946446,11608143,10114802,"0.6850","0.5969"
Brazil,213993441,145113195,78072189,"0.6781","0.3648"
Mongolia,3329282,2248058,2119454,"0.6752","0.6366"
Monaco,39520,26672,23308,"0.6749","0.5898"
Andorra,77354,51599,41831,"0.6671","0.5408"
Malaysia,32776195,21863951,18135561,"0.6671","0.5533"
Germany,83900471,55703730,52245087,"0.6639","0.6227"
Bahrain,1748295,1159989,1103361,"0.6635","0.6311"
Cyprus,888005,589098,540567,"0.6634","0.6087"
Mauritius,1273428,842642,783223,"0.6617","0.6151"
Panama,4381583,2891906,2150675,"0.6600","0.4908"
Cuba,11317498,7461666,4444521,"0.6593","0.3927"
Luxembourg,634814,416918,37846,"0.6568","0.0596"
Japan,126050796,82677879,67204659,"0.6559","0.5332"
Saudi Arabia,35340680,23022785,17550647,"0.6515","0.4966"
Cook Islands,17572,11416,11040,"0.6497","0.6283"
Lithuania,2689862,1716628,1590116,"0.6382","0.5912"
Sri Lanka,21497306,13690202,10867900,"0.6368","0.5055"
Argentina,45605823,28929766,19398787,"0.6343","0.4254"
United States,332915074,211097597,180572171,"0.6341","0.5424"
Fiji,902899,569958,342191,"0.6313","0.3790"
Anguilla,15125,9498,9067,"0.6280","0.5995"
Austria,9043072,5640345,5330472,"0.6237","0.5895"
New Zealand,4860642,3015345,1553910,"0.6204","0.3197"
Liechtenstein,38254,23699,21383,"0.6195","0.5590"
Turkey,85042736,52497989,41739242,"0.6173","0.4908"
Kuwait,4328553,2668082,923307,"0.6164","0.2133"
Greece,10370747,6349134,5920231,"0.6122","0.5709"
Costa Rica,5139053,3144786,1727299,"0.6119","0.3361"
Hungary,9634162,5855039,5564586,"0.6077","0.5776"
British Virgin Islands,30423,18405,13824,"0.6050","0.4544"
Switzerland,8715494,5270807,4587999,"0.6048","0.5264"
Ecuador,17888474,10699102,9727747,"0.5981","0.5438"
El Salvador,6518500,3875388,3190530,"0.5945","0.4895"
Curacao,164796,97150,88019,"0.5895","0.5341"
Sint Maarten (Dutch part),43421,25516,23366,"0.5876","0.5381"
Hong Kong,7552800,4387270,3928701,"0.5809","0.5202"
Australia,25788217,14768715,9285348,"0.5727","0.3601"
Estonia,1325188,745168,580931,"0.5623","0.4384"
Czechia,10724553,6028517,5878531,"0.5621","0.5481"
Morocco,37344787,20362745,16875343,"0.5453","0.4519"
Dominican Republic,10953714,5957432,4802290,"0.5439","0.4384"
Brunei,441532,237015,148587,"0.5368","0.3365"
French Polynesia,282534,146890,124291,"0.5199","0.4399"
Oman,5223376,2710021,1626851,"0.5188","0.3115"
Poland,37797000,19601546,19191249,"0.5186","0.5077"
Tuvalu,11925,6167,4525,"0.5171","0.3795"
Slovenia,2078723,1071680,962477,"0.5155","0.4630"
Macao,658391,338450,296643,"0.5141","0.4506"
Northern Cyprus,326000,160361,142493,"0.4919","0.4371"
Guernsey,67052,32969,13618,"0.4917","0.2031"
Cape Verde,561901,272501,94997,"0.4850","0.1691"
Samoa,200144,97032,45534,"0.4848","0.2275"
Taiwan,23855008,11536036,1402062,"0.4836","0.0588"
Colombia,51265841,24733487,15902438,"0.4825","0.3102"
Latvia,1866934,888910,802871,"0.4761","0.4300"
Mexico,130262220,61573170,40997724,"0.4727","0.3147"
Saint Kitts and Nevis,53546,24968,21916,"0.4663","0.4093"
Azerbaijan,10223344,4570812,3235423,"0.4471","0.3165"
Wallis and Futuna,11094,4952,4950,"0.4464","0.4462"
Antigua and Barbuda,98728,43949,35973,"0.4452","0.3644"
Belize,404915,180196,95523,"0.4450","0.2359"
Slovakia,5460726,2415058,2221121,"0.4423","0.4067"
